t,MV,MVP,MVI,MVD,PV,DV,SP,Man
0.000000000000000000e+00,5.000000000000000000e+01,2.613366565677903282e+02,-4.582271960858005286e+02,2.468905395180102289e+02,4.255289636544513598e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,1.027197450940902996e+02,-1.361138006364615194e+02,8.339405554237123397e+01,4.256240334432645511e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,1.026843076090681279e+02,-1.314350441339158237e+02,7.875073652484768161e+01,4.258088398496742855e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,1.026154205910059005e+02,-1.269479100707820578e+02,7.433248947977615728e+01,4.260783088113105066e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,1.025149754084601739e+02,-1.226436351485988894e+02,7.012865974013871551e+01,4.264276130870413795e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000001421e+01,1.023847714267965898e+02,-1.185138661148759951e+02,6.612909468807940527e+01,4.268521605494630933e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,1.022265203721915015e+02,-1.145506404976886756e+02,6.232412012549717417e+01,4.273475830301261169e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,1.020418504895998666e+02,-1.107463682457758125e+02,5.870451775617593881e+01,4.279097256914222669e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,1.018323105044090795e+02,-1.070938142315999357e+02,5.526150372719085624e+01,4.285346369002924405e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,1.015993733970380077e+02,-1.035860815768217265e+02,5.198670817978371161e+01,4.292185585800824299e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,1.013444399993050951e+02,-1.002165957615475804e+02,4.887215576224248537e+01,4.299579170179907806e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000001421e+01,1.010688424209736809e+02,-9.697908948052428002e+01,4.591024705955059915e+01,4.307493141066196074e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000001421e+01,1.007738473144842430e+02,-9.386758821118046114e+01,4.309374089669621810e+01,4.315895189991485381e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000000000e+01,1.004606589855077630e+02,-9.087639646006724092e+01,4.041573747455948507e+01,4.324754601586209901e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
1.400000000000000000e+01,4.999999999999998579e+01,1.001304223565927458e+02,-8.800008465581795747e+01,3.786966229922521165e+01,4.334042177827515729e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
1.500000000000000000e+01,5.000000000000000000e+01,9.978422579083589028e+01,-8.523347665824513797e+01,3.544925086740924058e+01,4.343730165865383697e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
1.600000000000000000e+01,5.000000000000000000e+01,9.942310378218017775e+01,-8.257163785462086025e+01,3.314853407244067540e+01,4.353792189258024337e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
1.700000000000000000e+01,5.000000000000000000e+01,9.904803951863152633e+01,-8.000986381554434956e+01,3.096182429691281968e+01,4.364203182455698027e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
1.800000000000000000e+01,5.000000000000000000e+01,9.865996732438962624e+01,-7.754366948409902704e+01,2.888370215970940080e+01,4.374939328379720394e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
1.900000000000000000e+01,5.000000000000000000e+01,9.825977498660500942e+01,-7.516877887323499863e+01,2.690900388662998211e+01,4.385977998950640711e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e+01,9.784830597220512516e+01,-7.288111524749022863e+01,2.503280927528510702e+01,4.397297698426437762e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
2.100000000000000000e+01,5.000000000000000000e+01,9.742636153997619886e+01,-7.067679176628782045e+01,2.325043022631162160e+01,4.408878009418199895e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
2.200000000000000000e+01,5.000000000000000000e+01,9.699470275284136278e+01,-6.855210256711171724e+01,2.155739981427035801e+01,4.420699541456927761e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
2.300000000000000000e+01,5.000000000000000000e+01,9.655405239504501935e+01,-6.650351426788847675e+01,1.994946187284346095e+01,4.432743881991133605e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
2.400000000000000000e+01,5.000000000000000000e+01,9.610509679872876632e+01,-6.452765786886808996e+01,1.842256107013933075e+01,4.444993549700539859e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
2.500000000000000000e+01,5.000000000000000000e+01,9.564848758417412000e+01,-6.262132103522618820e+01,1.697283345105207175e+01,4.457431950016599842e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
2.600000000000000000e+01,5.000000000000000000e+01,9.518484331778546448e+01,-6.078144074249136963e+01,1.559659742470590693e+01,4.470043332745730424e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
2.700000000000000000e+01,5.000000000000000000e+01,9.471475109169392681e+01,-5.900509626774136507e+01,1.429034517604743826e+01,4.482812751696029352e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
2.800000000000000000e+01,5.000000000000000711e+01,9.423876802868088021e+01,-5.728950251031493934e+01,1.305073448163406091e+01,4.495726026212969373e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
2.900000000000000000e+01,5.000000000000000000e+01,9.375742271594386068e+01,-5.563200362654737319e+01,1.187458091060350895e+01,4.508769704533976608e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
3.000000000000000000e+01,4.999999999999999289e+01,9.327121657106327746e+01,-5.403006696376844076e+01,1.075885039270516330e+01,4.521931028876076653e+01,5.000000000000000000e+01,7.010999999999999943e+01,1.000000000000000000e+00
